cohesion,friction_angle,srf,origin
2.0,25.0,0.79,train
4.0,25.0,0.84,train
6.0,25.0,0.9,train
2.0,29.5,0.95,train
4.0,29.5,1.01,train
6.0,29.5,1.05,train
2.0,34.0,1.11,train
4.0,34.0,1.18,train
6.0,34.0,1.23,train
3.24137931034483,27.7931034482759,0.92,train
4.89655172413793,27.7931034482759,0.97,train
3.24137931034483,31.8275862068966,1.07,train
5.03448275862069,31.8275862068966,1.12,train
2.82758620689655,26.8620689655172,0.88,train
5.03448275862069,26.551724137931,0.92,train
2.55172413793103,31.5172413793103,1.04,train
3.42727,30.0563,1.01,validation
5.31079,27.8259,0.98,validation
5.36512,30.4032,1.07,validation
5.24279,28.4726,1.0,validation
5.82258,32.2845,1.16,validation
3.81412,28.7374,0.97,validation
5.5122,28.9152,1.02,validation
3.75154,33.1876,1.14,validation
5.62408,32.1363,1.14,validation
5.35442,32.5055,1.15,validation
4.42849,28.476,0.98,validation
3.96125,29.7203,1.01,validation
4.5315,28.3253,0.97,validation
5.39543,26.8619,0.95,validation
3.66109,26.6943,0.9,validation
3.91843,31.4033,1.07,validation
5.18879,33.4586,1.19,validation
4.01384,29.2922,1.0,validation
4.04601,28.8345,0.98,validation
5.41135,30.2165,1.07,validation
3.4626,32.8679,1.12,validation
5.89136,30.9803,1.11,validation
5.51003,27.9663,0.99,validation
5.40169,27.0862,0.95,validation
5.2754,31.9402,1.13,validation
4.20836,30.643,1.05,validation
5.97298,30.2572,1.08,validation
5.78838,32.563,1.17,validation
3.15393,27.207,0.9,validation
4.90835,31.8042,1.11,validation
5.46776,29.5406,1.04,validation
4.91926,28.4138,0.99,validation
4.83897,31.8616,1.12,validation
5.02739,33.1989,1.17,validation
5.47994,28.3872,1.0,validation
4.639,29.9033,1.03,validation
2.76612,29.5998,0.97,validation
3.7832,32.7464,1.12,validation
4.74171,27.7524,0.96,validation
3.30029,32.7833,1.11,validation
5.61188,29.3986,1.04,validation
4.8694,33.2337,1.17,validation
4.91111,32.5923,1.15,validation
5.17055,28.0778,0.98,validation
5.0574,30.5742,1.07,validation
5.56257,31.5208,1.12,validation
4.3875,29.2488,1.01,validation
4.91698,32.4676,1.14,validation
5.71931,31.661,1.13,validation
5.26106,31.3915,1.11,validation
3.80026,31.4144,1.07,validation
5.09232,32.142,1.13,validation
5.52905,27.444,0.97,validation
5.04653,33.0609,1.17,validation
5.70408,28.7645,1.02,validation
5.95909,29.4472,1.05,validation
5.44545,30.9014,1.09,validation
4.80356,32.7748,1.15,validation
4.22937,28.3462,0.97,validation
4.88372,25.353,0.88,validation
4.26475,31.9817,1.11,validation
4.89135,29.2001,1.01,validation
4.36823,28.5052,0.98,validation
4.28243,28.0925,0.96,validation
4.34161,31.1725,1.08,validation
5.58978,25.6606,0.91,validation
4.07254,33.9283,1.18,validation
4.76186,29.7629,1.03,validation
4.57816,27.0476,0.93,validation
4.27453,29.6625,1.02,validation
5.94572,26.0174,0.93,validation
5.00654,26.9897,0.94,validation
4.71844,31.8695,1.11,validation
5.03827,27.3256,0.95,validation
3.78883,27.0137,0.91,validation
5.53331,27.7338,0.98,validation
5.57323,29.1244,1.03,validation
3.88129,27.7936,0.94,validation
3.56073,28.2365,0.95,validation
4.03797,32.028,1.1,validation
4.21162,28.8592,0.99,validation
5.08897,26.0498,0.91,validation
5.48427,30.7656,1.09,validation
4.85718,30.5683,1.06,validation
5.49326,31.5857,1.12,validation
3.62641,31.3959,1.07,validation
3.60422,28.2563,0.95,validation
3.61475,26.4605,0.89,validation
4.64933,27.3749,0.94,validation
3.672,30.223,1.02,validation
5.18311,28.7008,1.01,validation
4.09233,32.6813,1.13,validation
5.2091,33.3981,1.18,validation
4.1904,27.7994,0.95,validation
4.96133,33.011,1.16,validation
5.54744,29.1387,1.03,validation
4.98117,32.8346,1.16,validation
3.31329,31.2038,1.05,validation
4.53795,26.2185,0.9,validation
5.52154,33.1243,1.18,validation
3.51485,25.3459,0.85,validation
4.22186,33.35,1.16,validation
5.02462,26.5589,0.92,validation
2.26933,25.481,0.81,validation
4.92089,30.9329,1.08,validation
5.79201,31.0711,1.11,validation
5.23096,28.4339,1.0,validation
5.43255,25.8761,0.91,validation
5.17812,29.0034,1.02,validation
4.94285,29.4566,1.03,validation
4.49216,27.941,0.96,validation
5.09662,33.6997,1.19,validation
4.23816,29.0494,0.995,validation
5.68977,28.148,1.0,validation
5.47011,29.0334,1.02,validation
2.65276,31.4332,1.04,validation
3.65098,28.5958,0.96,validation
5.19707,28.9059,1.01,validation
3.85842,26.7904,0.9,validation
3.79377,28.6787,0.97,validation
5.61659,30.7189,1.09,validation
2.83534,29.0145,0.96,validation
4.66753,33.1125,1.16,validation
4.08434,25.8434,0.88,validation
5.02266,29.5493,1.03,validation
4.06583,32.3553,1.11,validation
3.28256,30.6038,1.03,validation
4.12269,27.724,0.94,validation
4.00372,30.8455,1.06,validation
2.52811,32.9602,1.09,validation
5.42587,28.552,1.01,validation
4.11302,26.6633,0.9,validation
4.90066,30.3804,1.06,validation
5.84635,29.8394,1.06,validation
5.07439,32.5967,1.15,validation
5.01404,32.9925,1.16,validation
3.74801,33.2412,1.14,validation
5.49598,31.6694,1.12,validation
5.07921,32.5518,1.15,validation
5.35027,32.4595,1.15,validation
3.71898,30.3174,1.03,validation
4.65623,33.6591,1.18,validation
5.702,30.0794,1.07,validation
4.35505,29.2596,1.0,validation
4.16189,29.6154,1.01,validation
4.40622,27.7589,0.95,validation
4.31285,31.9896,1.11,validation
5.08412,27.4656,0.96,validation
5.32915,28.8218,1.01,validation
5.57117,30.8191,1.09,validation
3.40821,32.2274,1.09,validation
5.28704,31.3836,1.11,validation
3.31675,31.8998,1.08,validation
4.97106,32.4417,1.14,validation
5.13455,28.0259,0.98,validation
4.61607,33.1014,1.16,validation
5.14207,33.7442,1.2,validation
3.04307,30.3105,1.01,validation
4.82398,25.4547,0.88,validation
5.34047,33.613,1.2,validation
4.97905,26.932,0.94,validation
4.71323,32.6425,1.14,validation
5.64911,30.0979,1.07,validation
4.90534,28.5571,0.995,validation
5.38684,25.3825,0.89,validation
5.04292,31.541,1.11,validation
4.83714,28.8917,1.0,validation
4.33746,32.2956,1.12,validation
3.56806,30.4771,1.03,validation
5.7142,30.988,1.1,validation
4.2931,27.0317,0.92,validation
4.96504,31.23,1.09,validation
3.95549,31.8248,1.09,validation
4.8405,29.0222,1.01,validation
3.93773,30.0458,1.02,validation
4.65353,33.6365,1.18,validation
3.6916,28.046,0.94,validation
4.94842,29.6774,1.03,validation
4.95214,31.1194,1.09,validation
4.61768,32.9062,1.15,validation
5.60046,27.8913,0.99,validation
5.9094,31.9311,1.15,validation
5.84466,29.0593,1.03,validation
5.85854,31.7387,1.14,validation
4.20133,29.7232,1.02,validation
5.03627,27.3545,0.95,validation
5.83969,32.7329,1.17,validation
5.0741,29.4391,1.03,validation
3.74074,30.7333,1.04,validation
5.38167,29.2785,1.03,validation
5.21249,33.0444,1.17,validation
4.60567,26.7996,0.92,validation
5.0647,25.5233,0.89,validation
5.06663,30.3022,1.06,validation
5.90604,29.5071,1.05,validation
3.83514,29.4944,1.0,validation
4.41111,33.1462,1.16,validation
3.73616,25.1513,0.84,validation
5.13963,32.1988,1.13,validation
4.49741,30.8946,1.07,validation
4.4419,32.2142,1.12,validation
4.95801,33.018,1.16,validation
5.96218,27.6851,0.99,validation
5.16153,30.2822,1.06,validation
4.31821,32.7936,1.14,validation
3.6376,31.4975,1.07,validation
5.18477,32.0088,1.13,validation
5.66724,29.3073,1.04,validation
4.81249,29.3677,1.02,validation
3.76364,25.8557,0.87,validation
4.13201,27.4053,0.93,validation
5.14195,28.8665,1.01,validation
4.28593,29.1619,1.0,validation
5.14793,32.1113,1.13,validation
2.99543,30.2885,1.01,validation
5.13721,31.1305,1.09,validation
4.58146,32.2602,1.13,validation
5.42941,30.0233,1.06,validation
4.20575,31.7965,1.1,validation
4.76882,27.9472,0.97,validation
4.33927,29.4242,1.01,validation
4.60803,28.8251,0.995,validation
3.59709,26.0243,0.87,validation
5.87076,33.5759,1.21,validation
5.19769,28.8842,1.01,validation
4.5929,27.9024,0.96,validation
5.33139,28.5624,1.0,validation
5.22888,25.9257,0.91,validation
3.90905,30.3692,1.04,validation
5.43928,27.905,0.98,validation
2.86427,28.9579,0.95,validation
4.28936,33.2882,1.16,validation
5.15636,26.5995,0.93,validation
4.6406,31.9127,1.11,validation
5.73639,33.5049,1.2,validation
5.68148,29.9929,1.07,validation
4.61958,25.6358,0.88,validation
3.81937,29.1891,0.99,validation
5.55238,29.9506,1.06,validation
4.54652,31.1769,1.08,validation
4.79748,25.8114,0.89,validation
5.61934,27.1946,0.96,validation
5.05863,29.8612,1.04,validation
4.1186,29.2953,1.0,validation
4.64378,32.9434,1.15,validation
2.69214,27.6828,0.9,validation
4.66491,32.6262,1.14,validation
5.56491,32.5811,1.16,validation
2.1529,29.2096,0.94,validation
5.54108,28.0552,0.995,validation
4.7882,28.1737,0.98,validation
5.91491,32.0187,1.15,validation
4.14901,31.6333,1.09,validation
4.78346,33.4142,1.18,validation
5.06094,29.6287,1.04,validation
4.43682,33.9677,1.19,validation
5.8814,29.6853,1.06,validation
4.50508,25.8807,0.89,validation
3.98942,26.1952,0.89,validation
4.50163,31.2961,1.09,validation
5.33482,30.065,1.06,validation
4.32842,26.3292,0.9,validation
5.51962,30.4902,1.08,validation
2.39835,30.6964,1.0,validation
4.77818,26.0841,0.9,validation
4.56837,30.1481,1.04,validation
4.47202,26.4253,0.91,validation
4.80874,32.4845,1.14,validation
3.99306,27.8746,0.95,validation
4.83287,28.544,0.99,validation
3.86942,28.1301,0.95,validation
4.16363,31.5772,1.09,validation
5.24168,31.837,1.12,validation
3.5403,30.9962,1.05,validation
5.51714,30.9163,1.1,validation
4.05724,31.4788,1.08,validation
5.10738,26.7219,0.93,validation
4.12815,29.3397,1.0,validation
4.29594,28.7206,0.98,validation
4.8215,30.226,1.05,validation
5.41996,30.3373,1.07,validation
5.65605,28.4808,1.01,validation
5.41389,31.4587,1.11,validation
2.78836,28.6498,0.94,validation
5.15045,29.2152,1.02,validation
3.95112,32.6608,1.12,validation
3.79756,30.7734,1.05,validation
4.35179,27.2477,0.93,validation
4.58024,31.0639,1.08,validation
5.00244,25.1389,0.88,validation
4.25999,26.8485,0.91,validation
4.17561,26.687,0.91,validation
5.74694,28.9237,1.03,validation
4.87763,31.8313,1.11,validation
4.69456,32.9201,1.15,validation
4.48842,31.1056,1.08,validation
4.15508,26.1389,0.89,validation
5.6655,29.5635,1.05,validation
4.32606,28.615,0.98,validation
3.64138,29.3137,0.99,validation
5.25763,30.6154,1.08,validation
5.23777,27.5307,0.96,validation
4.62864,29.4867,1.02,validation
4.41553,27.8587,0.95,validation
3.71332,26.3799,0.89,validation
3.07019,25.2536,0.83,validation
3.26758,27.8095,0.92,validation
5.32803,27.0705,0.95,validation
5.74581,32.8126,1.17,validation
5.52267,27.6464,0.98,validation
5.08683,31.0109,1.09,validation
3.46703,31.7057,1.07,validation
4.24809,31.9986,1.11,validation
3.89018,31.0599,1.06,validation
3.68048,31.1139,1.06,validation
5.86917,30.5586,1.09,validation
4.52081,29.7989,1.03,validation
4.07429,30.3597,1.04,validation
5.47281,32.2931,1.15,validation
4.86059,29.8739,1.04,validation
5.5752,31.0028,1.1,validation
5.3626,26.238,0.92,validation
5.55006,27.1746,0.96,validation
3.63091,30.63,1.04,validation
5.96765,27.2919,0.98,validation
5.29107,28.2525,0.995,validation
5.19407,29.6718,1.04,validation
5.05279,29.177,1.02,validation
3.35511,28.0658,0.94,validation
4.45671,29.0923,1.0,validation
5.77337,31.3338,1.12,validation
4.82055,30.5526,1.06,validation
4.95894,27.6164,0.96,validation
5.76861,33.3727,1.2,validation
3.91985,27.5917,0.93,validation
5.26315,33.2136,1.18,validation
